,,,X,Y,FA,Z,FACP
0,-757500,-352500,,750,0,750,1
1,-752500,-352500,,750,0,750,1
2,-747500,-352500,,750,0,750,1
3,-742500,-352500,,750,0,750,1
4,-737500,-352500,,750,0,750,1
5,-732500,-352500,,750,0,750,1
6,-727500,-352500,,750,0,750,1
7,-722500,-352500,,750,0,750,1
8,-717500,-352500,,750,0,750,1
9,-712500,-352500,,750,0,750,1
10,-707500,-352500,,750,0,750,1
11,-702500,-352500,,750,0,750,1
12,-697500,-352500,,750,0,750,1
13,-692500,-352500,,750,0,750,1
14,-687500,-352500,,750,0,750,1
15,-682500,-352500,,750,0,750,1
16,-677500,-352500,,750,0,750,1
17,-672500,-352500,,750,0,750,1
18,-667500,-352500,,750,0,750,1
19,-662500,-352500,,750,0,750,1
20,-657500,-352500,,750,0,750,1
21,-652500,-352500,,750,0,750,1
22,-647500,-352500,,750,0,750,1
23,-642500,-352500,,750,0,750,1
24,-637500,-352500,,750,0,750,1
25,-632500,-352500,,750,0,750,1
26,-627500,-352500,,750,0,750,1
27,-622500,-352500,,750,0,750,1
28,-617500,-352500,,750,0,750,1
29,-612500,-352500,,750,0,750,1
30,-607500,-352500,,750,0,750,1
31,-602500,-352500,,750,0,750,1
32,-597500,-352500,,750,0,750,1
33,-592500,-352500,,750,0,750,1
34,-587500,-352500,,750,0,750,1
35,-582500,-352500,,750,0,750,1
36,-577500,-352500,,750,0,750,1
37,-572500,-352500,,750,0,750,1
38,-567500,-352500,,750,0,750,1
39,-562500,-352500,,750,0,750,1
40,-557500,-352500,,750,0,750,1
41,-552500,-352500,,750,0,750,1
42,-547500,-352500,,750,0,750,1
43,-542500,-352500,,750,0,750,1
44,-537500,-352500,,750,0,750,1
45,-532500,-352500,,750,0,750,1
46,-527500,-352500,,750,0,750,1
47,-522500,-352500,,750,0,750,1
48,-517500,-352500,,750,0,750,1
49,-512500,-352500,,750,0,750,1
50,-507500,-352500,,750,0,750,1
51,-502500,-352500,,750,0,750,1
52,-497500,-352500,,750,0,750,1
53,-492500,-352500,,750,0,750,1
