Name,Absolute Gravity,Standard Error,Number of Observations,Latitude,Longitude,Elevation,Ellipsoidal gravity,Free air effect,Free air anomaly
L100,982949.323,0.158,4,-79.158072,164.938367,0,983034.3639,0,-85.04091868
L104,982950.026,0.172,2,-79.156452,164.983028,0,983034.3095,0,-84.28351412
L108,982949.823,0.172,2,-79.15474,165.027457,0,983034.252,0,-84.42901151
L112,982950.429,0.172,2,-79.153128,165.072388,0,983034.1979,0,-83.76885981
L116,982950.317,0.172,2,-79.151432,165.117257,0,983034.1409,0,-83.82387805
L120,982950.473,0.158,4,-79.149752,165.161803,0,983034.0844,0,-83.61142549
L124,982950.368,0.158,4,-79.14812,165.206208,0,983034.0296,0,-83.6615779
L128,982950.658,0.172,2,-79.146428,165.250685,0,983033.9727,0,-83.31470558
L132,982950.175,0.172,2,-79.144763,165.295598,0,983033.9167,0,-83.74173256
L136,982950.041,0.172,2,-79.143095,165.34046,0,983033.8607,0,-83.8196505
L140,982949.924,0.172,2,-79.141435,165.384807,0,983033.8048,0,-83.88082928
L144,982949.602,0.158,4,-79.139645,165.429082,0,983033.7446,0,-84.14262743
L148,982949.567,0.172,2,-79.13792,165.473825,0,983033.6866,0,-84.11960274
L152,982949.441,0.172,2,-79.136275,165.51807,0,983033.6313,0,-84.1902609
L156,982949.248,0.172,2,-79.134563,165.562553,0,983033.5737,0,-84.32565654
L160,982949.047,0.153,6,-79.132823,165.606955,0,983033.5151,0,-84.46810122
L160.5,982948.963,0.172,2,-79.132645,165.612583,0,983033.5091,0,-84.54611057
L162,982948.715,0.172,2,-79.131797,165.629903,0,983033.4806,0,-84.76556959
L164,982948.737,0.153,6,-79.131125,165.651555,0,983033.458,0,-84.7209507
L166,982948.693,0.172,2,-79.130238,165.674125,0,983033.4281,0,-84.73509308
L168,982948.797,0.172,2,-79.1294,165.696082,0,983033.3999,0,-84.60288273
L172,982948.927,0.172,2,-79.127647,165.740483,0,983033.3409,0,-84.41386324
L176,982949.208,0.172,2,-79.12585,165.785268,0,983033.2804,0,-84.07235297
L180,982949.464,0.172,2,-79.12411,165.829405,0,983033.2218,0,-83.757753
L184,982949.917,0.172,2,-79.122383,165.873928,0,983033.1636,0,-83.24658203
L188,982950.535,0.172,2,-79.120525,165.91785,0,983033.101,0,-82.56598874
L192,982951.526,0.158,4,-79.11879,165.962675,0,983033.0425,0,-81.51652997
L196,982952.475,0.172,2,-79.116897,166.006532,0,983032.9787,0,-80.50373746
L200,982953.376,0.172,2,-79.115147,166.050643,0,983032.9198,0,-79.54375455
L204,982954.379,0.172,2,-79.113188,166.095087,0,983032.8537,0,-78.47471669
L208,982955.808,0.172,2,-79.111212,166.13964,0,983032.7871,0,-76.97909432
L212,982957.79,0.172,2,-79.109078,166.18278,0,983032.7151,0,-74.92513195
L216,982959.45,0.172,2,-79.107337,166.227862,0,983032.6564,0,-73.20641232
L220,982961.009,0.153,6,-79.105378,166.272052,0,983032.5903,0,-71.58132942
L224,982961.776,0.159,4,-79.104373,166.317265,0,983032.5564,0,-70.7804234
L228,982962.652,0.173,2,-79.102488,166.361457,0,983032.4928,0,-69.8408205
L232,982963.573,0.173,2,-79.10056,166.405658,0,983032.4278,0,-68.85475589
L236,982964.849,0.173,2,-79.098608,166.449772,0,983032.3619,0,-67.5128702
L240,982966.514,0.173,2,-79.096778,166.49462,0,983032.3001,0,-65.78609217
L244,982967.672,0.173,2,-79.095023,166.538985,0,983032.2408,0,-64.56883678
L248,982967.677,0.173,2,-79.093275,166.583447,0,983032.1818,0,-64.50480872
L252,982968.612,0.173,2,-79.091512,166.627715,0,983032.1223,0,-63.51026502
L256,982969.119,0.173,2,-79.089728,166.672242,0,983032.062,0,-62.94300274
L260,982970.178,0.173,2,-79.087943,166.716927,0,983032.0017,0,-61.82369732
L264,982971.326,0.173,2,-79.086143,166.761318,0,983031.9409,0,-60.61487563
b1,982950.787,0.172,2,-79.13981212,165.6620946,0,983033.7502,0,-82.96324832
b2,982952.727,0.172,2,-79.14841,165.671463,0,983034.0393,0,-81.31232468
b3,982954.873,0.172,2,-79.15697,165.6807975,0,983034.3269,0,-79.45391099
b4,982956.709,0.158,4,-79.165568,165.69007,0,983034.6156,0,-77.90655666
b5,982958.769,0.172,2,-79.174125,165.699443,0,983034.9026,0,-76.13360965
b6,982960.926,0.172,2,-79.18273,165.709167,0,983035.1911,0,-74.26505526
b7,982961.448,0.172,2,-79.187902,165.714202,0,983035.3643,0,-73.91631932
dvd,982950.345,0.144,39,-79.14088,165.606295,0,983033.7862,0,-83.44116435
