Station,Latitude,Longitude,Gobs,Glat,FA
KIS,-82.79056,-155.55875,982973.8674,983113.8221,-139.9547127
KIS,-82.79056,-155.55875,982973.8949,983113.8221,-139.9271982
KIS,-82.79056,-155.55875,982974.0023,983113.8221,-139.8197922
1001,-82.79921097,-155.5440255,982974.1999,983114.0153,-139.8153766
1003,-82.79483231,-155.5403267,982974.0597,983113.9175,-139.857863
1005,-82.79043737,-155.536613,982973.6798,983113.8194,-140.139602
1007,-82.78606677,-155.532938,982973.3387,983113.7217,-140.383041
1009,-82.78168771,-155.5293797,982972.806,983113.6238,-140.8178398
1011,-82.77730029,-155.5259873,982972.1698,983113.5256,-141.3558214
1013,-82.77292737,-155.5226663,982971.5771,983113.4277,-141.8506427
1015,-82.76853476,-155.5193069,982970.748,983113.3293,-142.5813244
1017,-82.76414111,-155.5158659,982970.0247,983113.2308,-143.2061757
1019,-82.75973647,-155.5122442,982969.2619,983113.1321,-143.8701703
KIS,-82.79056,-155.55875,982973.9685,983113.8221,-139.8536052
KIS,-82.79056,-155.55875,982973.6258,983113.8221,-140.1963762
1019,-82.75973647,-155.5122442,982968.9095,983113.1321,-144.2225548
1021,-82.75535841,-155.508546,982968.2332,983113.0338,-144.8005658
1023,-82.75096892,-155.5047346,982967.5258,983112.9352,-145.409423
1025,-82.74657449,-155.5008253,982966.5943,983112.8365,-146.2422046
1027,-82.74217753,-155.4969275,982965.7148,983112.7377,-147.0228253
1029,-82.73777786,-155.4932349,982964.7754,983112.6387,-147.8633279
1031,-82.73335957,-155.489673,982964.1276,983112.5392,-148.4116326
1033,-82.72895233,-155.4863131,982963.3416,983112.44,-149.0983625
1035,-82.72450957,-155.4830526,982962.491,983112.3399,-149.8488754
1037,-82.72007961,-155.4799261,982961.7892,983112.24,-150.4507735
1039,-82.71564625,-155.4766608,982961.158,983112.14,-150.981926
KIS,-82.79056,-155.55875,982973.88,983113.8221,-139.9421157
KIS,-82.79056,-155.55875,982974.0395,983113.8221,-139.7826642
1039,-82.71564625,-155.4766608,982961.6384,983112.14,-150.5015825
1041,-82.71120799,-155.4733549,982961.2293,983112.0398,-150.8104597
1043,-82.70677161,-155.4697611,982960.8484,983111.9396,-151.0911422
1045,-82.70234589,-155.4657404,982960.4652,983111.8395,-151.3743265
1047,-82.69792501,-155.4616362,982960.1579,983111.7395,-151.5816474
1049,-82.69349901,-155.4575885,982959.8218,983111.6394,-151.8176337
1051,-82.68909338,-155.4536901,982959.2698,983111.5396,-152.2698284
1053,-82.68467699,-155.449923,982958.9353,983111.4396,-152.5042565
1055,-82.68024799,-155.4463511,982958.5392,983111.3392,-152.7999985
1057,-82.67580188,-155.4430042,982958.2272,983111.2383,-153.0110918
