%Latitude,Longitude,PSX(m),PSY(m),elevation_WGS84(m),elevation_uncertainty(m),free-air_disturbance(mGal),uncertainty_free-air(mGal)
-84.3209650779058,-163.978416595794,-170436.903,-593540.172,51.515,0.055,-39.091,0.017
-84.3310542679764,-163.722754524898,-172775.682,-591718.996,50.979,0.052,-36.388,0.017
-84.3053,-163.61706,-174658.074,-594090.26,58.021,NaN,-33.623,0.012
-84.31524,-163.35794,-177033.013,-592257.078,58.329,NaN,-30.655,0.011
-84.3413099127375,-163.45839503492,-175185.993,-589844.831,51.639,0.033,-33.644,0.024
-84.36668,-163.55885,-173374.567,-587506.094,53.646,0.068,-34.516,0.022
-84.3923357361816,-163.661205307911,-171533.757,-585128.701,63.473,0.035,-34.184,0.017
-84.3822368575392,-163.923324239432,-169159.662,-586964.102,58.887,0.023,-34.848,0.019
-84.372079486587,-164.184420539433,-166784.605,-588793.165,52.099,0.036,-35.828,0.017
-84.3566070248331,-163.820521154315,-170990.313,-589340.299,50.987,0.046,-36.362,0.015
-84.3764430445568,-163.29751926658,-175741.818,-585685.852,64.885,0.023,-31.898,0.025
-84.3863396967743,-163.034398125896,-178115.124,-583841.739,68.56,0.024,-30.053,0.022
-84.3513370771939,-163.195373327818,-177576.161,-587989.02,52.104,0.021,-31.254,0.026
-84.3610137441894,-162.938027830818,-179906.125,-586178.041,54.759,0.017,-32.309,0.035
-84.3347801391884,-162.836424225671,-181788.427,-588587.865,60.524,0.015,-34.085,0.041
-84.3250093746838,-163.098129094937,-179407.474,-590430.212,60.603,0.028,-30.538,0.037
-84.3106675703081,-164.23559310365,-168075.735,-595378.522,51.617,0.021,-41.117,0.015
-84.3003067218095,-164.493298550206,-165697.825,-597215.798,51.568,0.058,-42.454,0.015
-84.3257783945667,-164.598086946832,-163868.528,-594843.361,50.214,0.076,-40.879,0.017
-84.3513127008174,-164.704191816803,-162033.068,-592463.439,48.72,0.048,-37.481,0.018
