lon,lat,shape_num,x,y
-166.84393,-78.443629,0,-286720.0049464477,-1226666.7157187813
-166.723214,-78.668128,0,-283647.99334419105,-1202090.6993253164
-166.553575,-79.169184,0,-274432.0000666658,-1147818.689492702
-167.000553,-79.553431,0,-256000.011153977,-1108906.7018881068
-167.904299,-80.039431,0,-227328.0059709227,-1060778.7286881313
-168.302305,-80.168597,0,-217087.99120303322,-1048490.6747567978
-168.307817,-80.302594,0,-214016.00589030152,-1034154.7100547662
-169.182703,-80.579696,0,-192512.01463000564,-1007530.7262952727
-170.337993,-81.088889,0,-162816.00084833385,-956330.706065152
-171.664479,-81.433962,0,-135168.00228361425,-922538.7010348196
-172.400364,-81.6763,0,-119808.00295181196,-897962.7332166521
-173.207192,-81.96494,0,-103423.99468323031,-868266.6615157599
-173.559969,-82.197243,0,-95231.99649055842,-843690.6521814661
-173.835012,-82.550615,0,-87039.99604250879,-805802.6384983241
-173.883828,-82.843985,0,-82943.99431491063,-774058.6950420823
